The Grange University Hospital,Caerleon Rd Llanfrechfa Cwmbran,Torfaen
Nevill Hall Hospital,Brecon Rd Abergavenny,Monmouthshire
Royal Gwent Hospital,Cardiff Rd Newport,Newport
Ysbyty Ystrad Fawr,Ystrad Mynach,Caerphilly
Ysbyty Aneurin Bevan,Ebbw Vale,Blaenau Gwent
County Hospital,Coed y Gric Rd Pontypool,Torfaen
Chepstow Community Hospital,Tempest Way Chepstow,Monmouthshire
St Woolos Hospital,Stow Hill Newport,Newport
University Hospital of Wales,Heath Park Way Cardiff,Cardiff
University Hospital Llandough,Penlan Rd Llandough,Vale of Glamorgan
Barry Hospital,Colcot Rd Barry,Vale of Glamorgan
Rookwood Hospital,Llandaff Cardiff,Cardiff
St Davids Hospital,Canton Cardiff,Cardiff
Morriston Hospital,Heol Maes Eglwys Swansea,Swansea
Singleton Hospital,Sketty Ln Swansea,Swansea
Neath Port Talbot Hospital,Baglan Way Port Talbot,Neath Port Talbot
Cefn Coed Hospital,Cockett Swansea,Swansea
Tonna Hospital,Tonna Neath,Neath Port Talbot
Gorseinon Hospital,Millers Dr Gorseinon,Swansea
Glangwili General Hospital,Dolgwili Rd Carmarthen,Carmarthenshire
Prince Philip Hospital,Bryngwyn Mawr Llanelli,Carmarthenshire
Bronglais Hospital,Caradoc Rd Aberystwyth,Ceredigion
Withybush General Hospital,Fishguard Rd Haverfordwest,Pembrokeshire
Tenby Cottage Hospital,Gas Lane Tenby,Pembrokeshire
South Pembrokeshire Hospital,Brynhyfryd Pembroke Dock,Pembrokeshire
Llandovery Hospital,Llandovery,Carmarthenshire
Amman Valley Hospital,Ammanford,Carmarthenshire
Tregaron Hospital,Tregaron,Ceredigion
Ysbyty Gwynedd,Penrhosgarnedd Bangor,Gwynedd
Ysbyty Glan Clwyd,Rhuddlan Rd Bodelwyddan,Denbighshire
Wrexham Maelor Hospital,Croesnewydd Rd Wrexham,Wrexham
Ysbyty Alltwen,Porthmadog,Gwynedd
Ysbyty Eryri,Caernarfon,Gwynedd
Ysbyty Penrhos Stanley,Holyhead,Anglesey
Deeside Community Hospital,Deeside,Flintshire
Holywell Community Hospital,Holywell,Flintshire
Ruthin Community Hospital,Ruthin,Denbighshire
Denbigh Community Hospital,Denbigh,Denbighshire
Colwyn Bay Community Hospital,Colwyn Bay,Conwy
Llangollen Community Hospital,Llangollen,Denbighshire
Chirk Community Hospital,Chirk,Wrexham
Brecon War Memorial Hospital,Cerrigcochion Rd Brecon,Powys
Llandrindod Wells Memorial Hospital,Llandrindod Wells,Powys
Bronllys Hospital,Bronllys,Powys
Knighton Hospital,Knighton,Powys
Machynlleth Hospital,Machynlleth,Powys
Ystradgynlais Community Hospital,Ystradgynlais,Powys
